Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
50773,6,44,1,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,45454,44.0,0.0,44.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,22727.2727272727,22727.2727272727,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,31500,63919,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
80,6,24197,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,82,24197.0,0.0,24197.0,24197.0,24197.0,24197.0,0.0,24197.0,24197.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,82.65487457,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDOS attack-HOIC
443,6,110160639,17,21,343,3434.0,207,0,20.1764705882,56.9069803431,1460,0,163.5238095238,435.2460934974,34,0,2977314.56756757,4581030.00166949,10001279.0,1.0,110091134.0,6880695.875,4754063.06290435,10070754.0,421.0,110091189.0,5504559.45,5088831.19872637,10070772.0,1.0,0,0,0,0,352,424,0.1543200925,0.1906307025,0,1460,96.8461538462,326.1929957025,106401.870445344,0,0,0,1,0,0,0,0,1,99.3947368421,20.1764705882,163.5238095238,0,0,0,0,0,0,17,343,21,3434,8192,64240,12,20,86913.0909090909,69826.881055156,295206.0,35587.0,9921371.81818182,252149.978827213,10001279.0,9161694.0,Benign
21,6,1,1,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,2000000,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,1000000.0,1000000.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-BruteForce
3389,6,2730814,9,9,1187,1600.0,677,0,131.88888889999998,215.835843,1173,0,177.77777780000002,384.5298356,1020,6,160636.1176,252327.5399,937891.0,16.0,2730814.0,341351.75,391106.7969,1191746.0,16.0,2542178.0,317772.25,302263.787,937891.0,33002.0,0,0,0,0,192,204,3.295720617,3.295720617,0,1173,146.6842105,297.0011322,88209.67251,0,0,0,1,0,0,0,0,1,154.83333330000002,131.88888889999998,177.77777780000002,0,0,0,0,0,0,9,1187,9,1600,8192,62856,6,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
53,17,719,1,1,45,73.0,45,45,45.0,0.0,73,73,73.0,0.0,164116,2781,719.0,0.0,719.0,719.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,1390.8205841447,1390.8205841447,45,73,54.3333333333,16.1658075373,261.3333333333,0,0,0,0,0,0,0,0,1,81.5,45.0,73.0,0,0,0,0,0,0,1,45,1,73,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
445,6,102738,2,0,1,0.0,1,0,0.5,0.7071067812,0,0,0.0,0.0,9,19,102738.0,0.0,102738.0,102738.0,102738.0,102738.0,0.0,102738.0,102738.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,52,0,19.4669937122,0.0,0,1,0.6666666667,0.5773502692,0.3333333333,0,0,0,0,1,0,0,0,0,1.0,0.5,0.0,0,0,0,0,0,0,2,1,0,0,251,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
80,6,5183,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,385,5183.0,0.0,5183.0,5183.0,5183.0,5183.0,0.0,5183.0,5183.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,385.8769053,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDOS attack-HOIC
53,17,305,1,1,39,167.0,39,39,39.0,0.0,167,167,167.0,0.0,675409,6557,305.0,0.0,305.0,305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,3278.6885245902004,3278.6885245902004,39,167,81.6666666667,73.9008344563,5461.3333333333,0,0,0,0,0,0,0,0,1,122.5,39.0,167.0,0,0,0,0,0,0,1,39,1,167,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
53,17,12731,1,1,37,69.0,37,37,37.0,0.0,69,69,69.0,0.0,8326,157,12731.0,0.0,12731.0,12731.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,78.54842509999999,78.54842509999999,37,69,47.66666667,18.47520861,341.3333333,0,0,0,0,0,0,0,0,1,71.5,37.0,69.0,0,0,0,0,0,0,1,37,1,69,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infilteration
445,6,643731,7,5,364,582.0,103,0,52.0,49.2172056636024,409,0,116.4,167.035325605095,1469,18,58521.0,66021.3420311947,130186.0,37.0,643731.0,107288.5,50951.1574147242,132829.0,3412.0,517445.0,129361.25,1995.86094622513,131690.0,127567.0,0,0,0,0,152,112,10.8741073522947,7.76721953735334,0,409,72.76923076923079,109.533217066905,11997.5256410256,0,0,0,1,0,0,0,0,0,78.8333333333333,52.0,116.4,0,0,0,0,0,0,7,364,5,582,8192,255,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
3389,6,2052169,8,7,1144,1581.0,677,0,143.0,227.9699228282,1173,0,225.8571428571,430.0986044197,1327,7,146583.5,246501.763697154,953171.0,75.0,2052169.0,293167.0,399002.29844826704,1186089.0,75.0,1876631.0,312771.833333333,314509.071619511,953171.0,170815.0,0,0,0,0,172,152,3.8983144176,3.4110251154,0,1173,170.3125,319.402717323,102018.095833333,0,0,1,1,0,0,0,1,0,181.6666666667,143.0,225.8571428571,0,0,0,0,0,0,8,1144,7,1581,8192,62856,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
139,6,759,3,2,168,5.0,168,0,56.0,96.9948452239,5,0,2.5,3.5355339059,227931,6587,189.75,165.2803174408,340.0,17.0,437.0,218.5,195.8685783887,357.0,80.0,419.0,419.0,0.0,419.0,419.0,0,0,0,0,72,52,3952.5691699605,2635.0461133070003,0,168,28.8333333333,68.20679340550001,4652.1666666667,0,0,1,1,0,0,0,1,0,34.6,56.0,2.5,0,0,0,0,0,0,3,168,2,5,8192,280,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
80,6,1739,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1150,1739.0,0.0,1739.0,1739.0,1739.0,1739.0,0.0,1739.0,1739.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,1150.086256,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS attacks-Hulk
21,6,2,1,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1000000,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,500000.0,500000.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-BruteForce
445,6,1660249,7,5,364,582.0,103,0,52.0,49.2172056636,409,0,116.4,167.0353256051,569,7,150931.727272727,171940.442147908,349347.0,4.0,1660249.0,276708.166666667,136217.522372735,349464.0,4.0,1329143.0,332285.75,13980.7903776336,349425.0,316699.0,0,0,0,0,152,112,4.2162350346,3.0115964533,0,409,72.7692307692,109.5332170669,11997.5256410256,0,0,0,1,0,0,0,0,0,78.8333333333,52.0,116.4,0,0,0,0,0,0,7,364,5,582,8192,255,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
53,17,28115,1,1,40,101.0,40,40,40.0,0.0,101,101,101.0,0.0,5015,71,28115.0,0.0,28115.0,28115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,35.5682020274,35.5682020274,40,101,60.3333333333,35.2183664206,1240.3333333333,0,0,0,0,0,0,0,0,1,90.5,40.0,101.0,0,0,0,0,0,0,1,40,1,101,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
80,6,424,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,4716,424.0,0.0,424.0,424.0,424.0,424.0,0.0,424.0,424.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,4716.981132,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS attacks-Hulk
22,6,371583,23,22,1928,2665.0,640,0,83.82608695649999,135.8473917085,976,0,121.1363636364,258.6415602914,12360,121,8445.0681818182,18813.9514096961,82038.0,3.0,371516.0,16887.0909090909,28643.431187304,103748.0,275.0,371578.0,17694.1904761905,33220.7437343282,120674.0,12.0,0,0,0,0,744,712,61.8973419128,59.206153134,0,976,99.847826087,202.0257373473,40814.3985507246,0,0,0,1,0,0,0,0,0,102.0666666667,83.82608695649999,121.1363636364,0,0,0,0,0,0,23,1928,22,2665,26883,230,16,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSH-Bruteforce
80,6,865,3,4,161,488.0,161,0,53.6666666666667,92.95339333952973,488,0,122.0,244.0,750289,8092,144.166666666667,96.3958851127302,292.0,27.0,474.0,237.0,158.391918985787,349.0,125.0,573.0,191.0,171.429285712798,369.0,27.0,0,0,0,0,72,92,3468.20809248555,4624.2774566474,0,488,81.125,173.787585862742,30202.125,0,0,0,1,0,0,0,0,1,92.7142857142857,53.6666666666667,122.0,0,0,0,0,0,0,3,161,4,488,8192,149,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
443,6,296,3,0,77,0.0,46,0,25.66666667,23.45918441,0,0,0.0,0.0,260135,10135,148.0,185.2619767,279.0,17.0,296.0,148.0,185.2619767,279.0,17.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,60,0,10135.13514,0.0,0,46,30.75,21.68524844,470.25,0,1,0,0,1,0,0,0,0,41.0,25.66666667,0.0,0,0,0,0,0,0,3,77,0,0,258,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
80,6,1042876,3,4,20,964.0,20,0,6.666666667,11.54700538,964,0,241.0,482.0,943,6,173812.6667,425534.3661,1042431.0,6.0,421.0,210.5,260.9224023,395.0,26.0,1042870.0,347623.3333,601721.1245,1042431.0,16.0,0,0,0,0,72,92,2.876660312,3.835547083,0,964,123.0,339.8873763,115523.4286,0,0,1,1,0,0,0,1,1,140.5714286,6.666666667,241.0,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS attacks-LOIC-HTTP
53,17,38033,2,2,74,334.0,37,37,37.0,0.0,167,167,167.0,0.0,10727,105,12677.66667,21422.4558,37414.0,226.0,37640.0,37640.0,0.0,37640.0,37640.0,619.0,619.0,0.0,619.0,619.0,0,0,0,0,16,16,52.58591223,52.58591223,37,167,89.0,71.20393248,5070.0,0,0,0,0,0,0,0,0,1,111.25,37.0,167.0,0,0,0,0,0,0,2,74,2,334,-1,-1,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
80,6,54084552,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,54100000.0,0.0,54100000.0,54100000.0,54100000.0,54100000.0,0.0,54100000.0,54100000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,0.036979136,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,279,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
80,6,47729,3,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,62,23864.5,24712.6749,41339.0,6390.0,47729.0,23864.5,24712.6749,41339.0,6390.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,96,0,62.85486811,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,225,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS attacks-Hulk
21,6,2,1,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1000000,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,500000.0,500000.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS attacks-SlowHTTPTest
3389,6,2118601,9,7,1128,1581.0,661,0,125.3333333333,213.4830204021,1173,0,225.8571428571,430.0986044197,1278,7,141240.066666667,237680.31724790897,953109.0,4.0,2118601.0,264825.125,362333.098256854,1148833.0,4.0,1975195.0,329199.166666667,319973.198587892,953109.0,144544.0,0,0,0,0,192,152,4.2480863551,3.3040671651,0,1173,159.3529411765,310.3705328266,96329.8676470588,0,0,1,1,0,0,0,1,0,169.3125,125.3333333333,225.8571428571,0,0,0,0,0,0,9,1128,7,1581,8192,62872,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
46084,6,4195500,5,3,935,310.0,935,0,187.0,418.1447118,310,0,103.3333333,178.9785834,296,1,599357.1429,1516419.98,4037045.0,7.0,4195500.0,1048875.0,1992598.558,4037053.0,54.0,107135.0,53567.5,75375.46155,106866.0,269.0,0,0,0,0,168,104,1.191753069,0.715051841,0,935,138.33333330000002,315.85202230000004,99762.5,0,0,0,0,1,0,0,0,0,155.625,187.0,103.3333333,0,0,0,0,0,0,5,935,3,310,219,211,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
63143,6,1367,5,2,935,339.0,935,0,187.0,418.1447118,339,0,169.5,239.7091988,931967,5120,227.8333333,300.33808730000004,780.0,6.0,1367.0,341.75,521.4942473,1110.0,6.0,780.0,780.0,0.0,780.0,780.0,0,0,0,0,124,40,3657.644477,1463.057791,0,935,159.25,335.1463433,112323.0714,0,0,1,1,0,0,0,1,0,182.0,187.0,169.5,0,0,0,0,0,0,5,935,2,339,65535,32768,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
80,6,37138167,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,37100000.0,0.0,37100000.0,37100000.0,37100000.0,37100000.0,0.0,37100000.0,37100000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,0.053852954,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,2049,-1,0,20,0.0,0.0,0.0,0.0,37100000.0,0.0,37100000.0,37100000.0,DDoS attacks-LOIC-HTTP
51715,6,53,1,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,37735,53.0,0.0,53.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,18867.9245283019,18867.9245283019,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,509,254,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
53364,6,33,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,60606,33.0,0.0,33.0,33.0,33.0,33.0,0.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,60606.06061,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,256,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
47986,6,4184259,5,3,935,326.0,935,0,187.0,418.1447118,326,0,108.6666667,188.2161878,301,1,597751.2857,1558541.611,4132115.0,6.0,4184259.0,1046064.75,2057409.177,4132122.0,17.0,28605.0,14302.5,11032.98711,22104.0,6501.0,0,0,0,0,168,104,1.19495471,0.7169728259999999,0,935,140.11111110000002,316.9820359,100477.6111,0,0,0,0,1,0,0,0,0,157.625,187.0,108.6666667,0,0,0,0,0,0,5,935,3,326,219,211,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
22,6,7,1,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,285714,7.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,142857.14285714302,142857.14285714302,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,241,230,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSH-Bruteforce
53,17,257,1,1,41,57.0,41,41,41.0,0.0,57,57,57.0,0.0,381322,7782,257.0,0.0,257.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,3891.050584000001,3891.050584000001,41,57,46.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,69.5,41.0,57.0,0,0,0,0,0,0,1,41,1,57,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
54726,6,18950,5,2,935,299.0,935,0,187.0,418.1447118,299,0,149.5,211.4249276,65118,369,3158.333333,7238.231790999999,17923.0,5.0,18950.0,4737.5,8991.487584999999,18216.0,6.0,17923.0,17923.0,0.0,17923.0,17923.0,0,0,0,0,124,40,263.8522427,105.5408971,0,935,154.25,332.3684487,110468.7857,0,0,1,1,0,0,0,1,0,176.28571430000002,187.0,149.5,0,0,0,0,0,0,5,935,2,299,65535,32768,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
